,company_Index,memberid,value
770,386,sky,0
771,386,sky2,0
772,387,sky,0
773,387,sky2,0
774,388,sky,0
775,388,sky2,0
776,389,sky,0
777,389,sky2,0
778,390,sky,0
779,390,sky2,0
780,391,sky,0
781,391,sky2,0
782,392,sky,0
783,392,sky2,0
784,393,sky,0
785,393,sky2,0
786,394,sky,0
787,394,sky2,0
788,395,sky,0
789,395,sky2,0
790,396,sky,0
791,396,sky2,0
792,397,sky,0
793,397,sky2,0
794,398,sky,0
795,398,sky2,0
796,399,sky,0
797,399,sky2,0
798,400,sky,0
799,400,sky2,0
800,401,sky,0
801,401,sky2,0
802,402,sky,0
803,402,sky2,0
804,403,sky,0
805,403,sky2,0
806,404,sky,0
807,404,sky2,0
808,405,sky,0
809,405,sky2,0
810,406,sky,0
811,406,sky2,0
812,407,sky,0
813,407,sky2,0
814,408,sky,0
815,408,sky2,0
816,409,sky,0
817,409,sky2,0
818,410,sky,0
819,410,sky2,0
820,411,sky,0
821,411,sky2,0
822,412,sky,0
823,412,sky2,0
824,413,sky,0
825,413,sky2,0
826,414,sky,0
827,414,sky2,0
828,415,sky,0
829,415,sky2,0
830,416,sky,0
831,416,sky2,0
832,417,sky,0
833,417,sky2,0
834,418,sky,0
835,418,sky2,0
836,419,sky,0
837,419,sky2,0
838,420,sky,0
839,420,sky2,0
840,421,sky,0
841,421,sky2,0
842,422,sky,0
843,422,sky2,0
844,423,sky,0
845,423,sky2,0
846,424,sky,0
847,424,sky2,0
848,425,sky,0
849,425,sky2,0
850,426,sky,0
851,426,sky2,0
852,427,sky,0
853,427,sky2,0
854,428,sky,0
855,428,sky2,0
856,429,sky,0
857,429,sky2,0
858,430,sky,0
859,430,sky2,0
860,431,sky,0
861,431,sky2,0
862,432,sky,0
863,432,sky2,0
864,433,sky,0
865,433,sky2,0
866,434,sky,0
867,434,sky2,0
868,435,sky,0
869,435,sky2,0
870,436,sky,0
871,436,sky2,0
872,437,sky,0
873,437,sky2,0
874,438,sky,0
875,438,sky2,0
876,439,sky,0
877,439,sky2,0
878,440,sky,0
879,440,sky2,0
880,441,sky,0
881,441,sky2,0
882,442,sky,0
883,442,sky2,0
884,443,sky,0
885,443,sky2,0
886,444,sky,0
887,444,sky2,0
888,445,sky,0
889,445,sky2,0
890,446,sky,0
891,446,sky2,0
892,447,sky,0
893,447,sky2,0
894,448,sky,0
895,448,sky2,0
896,449,sky,0
897,449,sky2,0
898,450,sky,0
899,450,sky2,0
900,451,sky,0
901,451,sky2,0
902,452,sky,0
903,452,sky2,0
904,453,sky,0
905,453,sky2,0
906,454,sky,0
907,454,sky2,0
908,455,sky,0
909,455,sky2,0
910,456,sky,0
911,456,sky2,0
912,457,sky,0
913,457,sky2,0
914,458,sky,0
915,458,sky2,0
916,459,sky,0
917,459,sky2,0
918,460,sky,0
919,460,sky2,0
920,461,sky,0
921,461,sky2,0
922,462,sky,0
923,462,sky2,0
924,463,sky,0
925,463,sky2,0
926,464,sky,0
927,464,sky2,0
928,465,sky,0
929,465,sky2,0
930,466,sky,0
931,466,sky2,0
932,467,sky,0
933,467,sky2,0
934,468,sky,0
935,468,sky2,0
936,469,sky,0
937,469,sky2,0
938,470,sky,0
939,470,sky2,0
940,471,sky,0
941,471,sky2,0
942,472,sky,0
943,472,sky2,0
944,473,sky,0
945,473,sky2,0
946,474,sky,0
947,474,sky2,0
948,475,sky,0
949,475,sky2,0
950,476,sky,0
951,476,sky2,0
952,477,sky,0
953,477,sky2,0
954,478,sky,0
955,478,sky2,0
956,479,sky,0
957,479,sky2,0
958,480,sky,0
959,480,sky2,0
960,481,sky,0
961,481,sky2,0
962,482,sky,0
963,482,sky2,0
964,483,sky,0
965,483,sky2,0
966,484,sky,0
967,484,sky2,0
968,485,sky,0
969,485,sky2,0
970,486,sky,0
971,486,sky2,0
972,487,sky,0
973,487,sky2,0
974,488,sky,0
975,488,sky2,0
976,489,sky,0
977,489,sky2,0
978,490,sky,0
979,490,sky2,0
980,491,sky,0
981,491,sky2,0
982,492,sky,0
983,492,sky2,0
984,493,sky,0
985,493,sky2,0
986,494,sky,0
987,494,sky2,0
988,495,sky,0
989,495,sky2,0
990,496,sky,0
991,496,sky2,0
992,497,sky,0
993,497,sky2,0
994,498,sky,0
995,498,sky2,0
996,499,sky,0
997,499,sky2,0
998,500,sky,0
999,500,sky2,0
1000,501,sky,0
1001,501,sky2,0
1002,502,sky,0
1003,502,sky2,0
1004,503,sky,0
1005,503,sky2,0
1006,504,sky,0
1007,504,sky2,0
1008,505,sky,0
1009,505,sky2,0
1010,506,sky,0
1011,506,sky2,0
1012,507,sky,0
1013,507,sky2,0
1014,508,sky,0
1015,508,sky2,0
1016,509,sky,0
1017,509,sky2,0
1018,510,sky,0
1019,510,sky2,0
1020,511,sky,0
1021,511,sky2,0
1022,512,sky,0
1023,512,sky2,0
1024,513,sky,0
1025,513,sky2,0
1026,514,sky,0
1027,514,sky2,0
1028,515,sky,0
1029,515,sky2,0
1030,516,sky,0
1031,516,sky2,0
1032,517,sky,0
1033,517,sky2,0
1034,518,sky,0
1035,518,sky2,0
1036,519,sky,0
1037,519,sky2,0
1038,520,sky,0
1039,520,sky2,0
1040,521,sky,0
1041,521,sky2,0
1042,522,sky,0
1043,522,sky2,0
1044,523,sky,0
1045,523,sky2,0
1046,524,sky,0
1047,524,sky2,0
1048,525,sky,0
1049,525,sky2,0
1050,526,sky,0
1051,526,sky2,0
1052,527,sky,0
1053,527,sky2,0
1054,528,sky,0
1055,528,sky2,0
1056,529,sky,0
1057,529,sky2,0
1058,530,sky,0
1059,530,sky2,0
1060,531,sky,0
1061,531,sky2,0
1062,532,sky,0
1063,532,sky2,0
1064,533,sky,0
1065,533,sky2,0
1066,534,sky,0
1067,534,sky2,0
1068,535,sky,0
1069,535,sky2,0
1070,536,sky,0
1071,536,sky2,0
1072,537,sky,0
1073,537,sky2,0
1074,538,sky,0
1075,538,sky2,0
1076,539,sky,0
1077,539,sky2,0
1078,540,sky,0
1079,540,sky2,0
1080,541,sky,0
1081,541,sky2,0
1082,542,sky,0
1083,542,sky2,0
1084,543,sky,0
1085,543,sky2,0
1086,544,sky,0
1087,544,sky2,0
1088,545,sky,0
1089,545,sky2,0
1090,546,sky,0
1091,546,sky2,0
1092,547,sky,0
1093,547,sky2,0
1094,548,sky,0
1095,548,sky2,0
1096,549,sky,0
1097,549,sky2,0
1098,550,sky,0
1099,550,sky2,0
1100,551,sky,0
1101,551,sky2,0
1102,552,sky,0
1103,552,sky2,0
1104,553,sky,0
1105,553,sky2,0
1106,554,sky,0
1107,554,sky2,0
1108,555,sky,0
1109,555,sky2,0
1110,556,sky,0
1111,556,sky2,0
1112,557,sky,0
1113,557,sky2,0
1114,558,sky,0
1115,558,sky2,0
1116,559,sky,0
1117,559,sky2,0
1118,560,sky,0
1119,560,sky2,0
1120,561,sky,0
1121,561,sky2,0
1122,562,sky,0
1123,562,sky2,0
1124,563,sky,0
1125,563,sky2,0
1126,564,sky,0
1127,564,sky2,0
1128,565,sky,0
1129,565,sky2,0
1130,566,sky,0
1131,566,sky2,0
1132,567,sky,0
1133,567,sky2,0
1134,568,sky,0
1135,568,sky2,0
1136,569,sky,0
1137,569,sky2,0
1138,570,sky,0
1139,570,sky2,0
1140,571,sky,0
1141,571,sky2,0
1142,572,sky,0
1143,572,sky2,0
1144,573,sky,0
1145,573,sky2,0
1146,574,sky,0
1147,574,sky2,0
1148,575,sky,0
1149,575,sky2,0
1150,576,sky,0
1151,576,sky2,0
1152,577,sky,0
1153,577,sky2,0
1154,578,sky,0
1155,578,sky2,0
1156,579,sky,0
1157,579,sky2,0
1158,580,sky,0
1159,580,sky2,0
1160,581,sky,0
1161,581,sky2,0
1162,582,sky,0
1163,582,sky2,0
1164,583,sky,0
1165,583,sky2,0
1166,584,sky,0
1167,584,sky2,0
1168,585,sky,0
1169,585,sky2,0
1170,586,sky,0
1171,586,sky2,0
1172,587,sky,0
1173,587,sky2,0
1174,588,sky,0
1175,588,sky2,0
1176,589,sky,0
1177,589,sky2,0
1178,590,sky,0
1179,590,sky2,0
1180,591,sky,0
1181,591,sky2,0
1182,592,sky,0
1183,592,sky2,0
1184,593,sky,0
1185,593,sky2,0
1186,594,sky,0
1187,594,sky2,0
1188,595,sky,0
1189,595,sky2,0
1190,596,sky,0
1191,596,sky2,0
1192,597,sky,0
1193,597,sky2,0
1194,598,sky,0
1195,598,sky2,0
1196,599,sky,0
1197,599,sky2,0
1198,600,sky,0
1199,600,sky2,0
1200,601,sky,0
1201,601,sky2,0
1202,602,sky,0
1203,602,sky2,0
1204,603,sky,0
1205,603,sky2,0
1206,604,sky,0
1207,604,sky2,0
1208,605,sky,0
1209,605,sky2,0
1210,606,sky,0
1211,606,sky2,0
1212,607,sky,0
1213,607,sky2,0
1214,608,sky,0
1215,608,sky2,0
1216,609,sky,0
1217,609,sky2,0
1218,610,sky,0
1219,610,sky2,0
1220,611,sky,0
1221,611,sky2,0
1222,612,sky,0
1223,612,sky2,0
1224,613,sky,0
1225,613,sky2,0
1226,614,sky,0
1227,614,sky2,0
1228,615,sky,0
1229,615,sky2,0
1230,616,sky,0
1231,616,sky2,0
1232,617,sky,0
1233,617,sky2,0
1234,618,sky,0
1235,618,sky2,0
1236,619,sky,0
1237,619,sky2,0
1238,620,sky,0
1239,620,sky2,0
1240,621,sky,0
1241,621,sky2,0
1242,622,sky,0
1243,622,sky2,0
1244,623,sky,0
1245,623,sky2,0
1246,624,sky,0
1247,624,sky2,0
1248,625,sky,0
1249,625,sky2,0
1250,626,sky,0
1251,626,sky2,0
1252,627,sky,0
1253,627,sky2,0
1254,628,sky,0
1255,628,sky2,0
1256,629,sky,0
1257,629,sky2,0
1258,630,sky,0
1259,630,sky2,0
1260,631,sky,0
1261,631,sky2,0
1262,632,sky,0
1263,632,sky2,0
1264,633,sky,0
1265,633,sky2,0
1266,634,sky,0
1267,634,sky2,0
1268,635,sky,0
1269,635,sky2,0
1270,636,sky,0
1271,636,sky2,0
1272,637,sky,0
1273,637,sky2,0
1274,638,sky,0
1275,638,sky2,0
1276,639,sky,0
1277,639,sky2,0
1278,640,sky,0
1279,640,sky2,0
1280,641,sky,0
1281,641,sky2,0
1282,642,sky,0
1283,642,sky2,0
1284,643,sky,0
1285,643,sky2,0
1286,644,sky,0
1287,644,sky2,0
1288,645,sky,0
1289,645,sky2,0
1290,646,sky,0
1291,646,sky2,0
1292,647,sky,0
1293,647,sky2,0
1294,648,sky,0
1295,648,sky2,0
1296,649,sky,0
1297,649,sky2,0
1298,650,sky,0
1299,650,sky2,0
1300,651,sky,0
1301,651,sky2,0
1302,652,sky,0
1303,652,sky2,0
1304,653,sky,0
1305,653,sky2,0
1306,654,sky,0
1307,654,sky2,0
1308,655,sky,0
1309,655,sky2,0
1310,656,sky,0
1311,656,sky2,0
1312,657,sky,0
1313,657,sky2,0
1314,658,sky,0
1315,658,sky2,0
1316,659,sky,0
1317,659,sky2,0
1318,660,sky,0
1319,660,sky2,0
1320,661,sky,0
1321,661,sky2,0
1322,662,sky,0
1323,662,sky2,0
1324,663,sky,0
1325,663,sky2,0
1326,664,sky,0
1327,664,sky2,0
1328,665,sky,0
1329,665,sky2,0
1330,666,sky,0
1331,666,sky2,0
1332,667,sky,0
1333,667,sky2,0
1334,668,sky,0
1335,668,sky2,0
1336,669,sky,0
1337,669,sky2,0
1338,670,sky,0
1339,670,sky2,0
1340,671,sky,0
1341,671,sky2,0
1342,672,sky,0
1343,672,sky2,0
1344,673,sky,0
1345,673,sky2,0
1346,674,sky,0
1347,674,sky2,0
1348,675,sky,0
1349,675,sky2,0
1350,676,sky,0
1351,676,sky2,0
1352,677,sky,0
1353,677,sky2,0
1354,678,sky,0
1355,678,sky2,0
1356,679,sky,0
1357,679,sky2,0
1358,680,sky,0
1359,680,sky2,0
1360,681,sky,0
1361,681,sky2,0
1362,682,sky,0
1363,682,sky2,0
1364,683,sky,0
1365,683,sky2,0
1366,684,sky,0
1367,684,sky2,0
1368,685,sky,0
1369,685,sky2,0
1370,686,sky,0
1371,686,sky2,0
1372,687,sky,0
1373,687,sky2,0
1374,688,sky,0
1375,688,sky2,0
1376,689,sky,0
1377,689,sky2,0
1378,690,sky,0
1379,690,sky2,0
1380,691,sky,0
1381,691,sky2,0
1382,692,sky,0
1383,692,sky2,0
1384,693,sky,0
1385,693,sky2,0
1386,694,sky,0
1387,694,sky2,0
1388,695,sky,0
1389,695,sky2,0
1390,696,sky,0
1391,696,sky2,0
1392,697,sky,0
1393,697,sky2,0
1394,698,sky,0
1395,698,sky2,0
1396,699,sky,0
1397,699,sky2,0
1398,700,sky,0
1399,700,sky2,0
1400,701,sky,0
1401,701,sky2,0
1402,702,sky,0
1403,702,sky2,0
1404,703,sky,0
1405,703,sky2,0
1406,704,sky,0
1407,704,sky2,0
1408,705,sky,0
1409,705,sky2,0
1410,706,sky,0
1411,706,sky2,0
1412,707,sky,0
1413,707,sky2,0
1414,708,sky,0
1415,708,sky2,0
1416,709,sky,0
1417,709,sky2,0
1418,710,sky,0
1419,710,sky2,0
1420,711,sky,0
1421,711,sky2,0
1422,712,sky,0
1423,712,sky2,0
1424,713,sky,0
1425,713,sky2,0
